Symbol	chr	start	end	strand	Unique08	Unique01
chr20+	chr20	709470	709495	+	0.0	1.0
chr20+	chr20	738310	738335	+	3.0	0.0
chr20+	chr20	1398020	1398045	+	1.0	0.0
chr20+	chr20	1908080	1908105	+	1.0	0.0
chr20+	chr20	2051400	2051425	+	8.0	0.0
chr20+	chr20	2117670	2117695	+	1.0	0.0
chr20+	chr20	2163160	2163185	+	2.0	0.0
chr20+	chr20	2208540	2208565	+	0.0	3.0
chr20+	chr20	2308620	2308645	+	12.0	0.0
chr20+	chr20	2414550	2414575	+	1.0	0.0
chr20+	chr20	2477910	2477935	+	3.0	0.0
chr20+	chr20	2608560	2608585	+	0.0	1.0
chr20+	chr20	2644930	2644955	+	0.0	1.0
chr20+	chr20	2735270	2735295	+	6.0	0.0
chr20+	chr20	2747210	2747235	+	1.0	0.0
chr20+	chr20	2754780	2754805	+	1.0	0.0
chr20+	chr20	2780270	2780295	+	0.0	4.0
chr20+	chr20	2915190	2915215	+	1.0	0.0
chr20+	chr20	3006240	3006265	+	5.0	0.0
chr20+	chr20	3174260	3174285	+	1.0	0.0
chr20+	chr20	3474960	3474985	+	0.0	6.0
chr20+	chr20	3595360	3595385	+	0.0	1.0
chr20+	chr20	3670370	3670395	+	2.0	0.0
chr20+	chr20	3762860	3762885	+	1.0	0.0
chr20+	chr20	4362350	4362375	+	0.0	1.0
chr20+	chr20	4773430	4773455	+	5.0	0.0
chr20+	chr20	4796390	4796415	+	6.0	0.0
chr20+	chr20	4797560	4797585	+	2.0	0.0
chr20+	chr20	4873940	4873965	+	6.0	0.0
chr20+	chr20	5122910	5122935	+	1.0	0.0
chr20+	chr20	5231610	5231635	+	0.0	6.0
chr20+	chr20	5668200	5668225	+	1.0	0.0
chr20+	chr20	5728830	5728855	+	0.0	2.0
chr20+	chr20	6000000	6000025	+	1.0	0.0
chr20+	chr20	6250400	6250425	+	2.0	0.0
chr20+	chr20	6411180	6411205	+	2.0	1.0
chr20+	chr20	6568750	6568775	+	3.0	0.0
chr20+	chr20	6691610	6691635	+	0.0	1.0
chr20+	chr20	6790720	6790745	+	3.0	0.0
chr20+	chr20	6797460	6797485	+	1.0	0.0
chr20+	chr20	7051040	7051065	+	0.0	3.0
chr20+	chr20	7180670	7180695	+	0.0	1.0
chr20+	chr20	7217510	7217535	+	0.0	1.0
chr20+	chr20	7234880	7234905	+	7.0	0.0
chr20+	chr20	7274480	7274505	+	1.0	0.0
chr20+	chr20	7388700	7388725	+	0.0	1.0
chr20+	chr20	7942340	7942365	+	0.0	6.0
chr20+	chr20	7945630	7945655	+	1.0	0.0
chr20+	chr20	8119210	8119235	+	1.0	0.0
chr20+	chr20	8178460	8178485	+	1.0	0.0
chr20+	chr20	8519630	8519655	+	4.0	1.0
chr20+	chr20	8913790	8913815	+	1.0	0.0
